run_id,timestamp,owner,method,variant,instance,T,L,official_status,SRS,Ccrit,Cdev,Csmooth,dSRS_vs_historical,dSRS_vs_threshold,dSRS_vs_dp,min_storage,weeks_below_Smin,release_balance_error,feasible,runtime_seconds,delta_u,u_max,eta,S_max,S_min,delta_u_full_ref,w1,w2,w3,encoding,n_qubits,p_depth,energy,approximation_ratio,seed,simulator,penalties,window_start,window_label,beta,gamma,optimizer_iterations
debug_T5_L3_historical_20260630-204109,20260630-204109,,historical,,debug,5,3,preliminary,-0.27698499345001243,1.1234219152982561e+18,0.0,0.0,0.0,0.09358091812966124,0.0,375611223.3226168,6,0.0,True,1.624997821636498e-06,2052946.9152623047,2052946.9152623047,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,4.745418908967719e-15,1.482943409052412e-15,,,,,,,,,,,,,
debug_T5_L3_threshold_pure_20260630-204109,20260630-204109,,threshold,pure,debug,5,3,preliminary,-0.37056591157967367,1.0973867963576566e+18,21072955184425.062,0.0,-0.09358091812966124,0.0,-0.09358091812966124,375611223.3226168,6,6334500.819451139,False,3.249995643272996e-06,2052946.9152623047,2052946.9152623047,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,4.745418908967719e-15,1.482943409052412e-15,,,,,,,,,,,,,
debug_T5_L3_threshold_clamped_20260630-204109,20260630-204109,,threshold,clamped,debug,5,3,preliminary,-0.37056591157967367,1.0973867963576566e+18,21072955184425.062,0.0,-0.09358091812966124,0.0,-0.09358091812966124,375611223.3226168,6,6334500.819451139,False,3.0840019462630153e-06,2052946.9152623047,2052946.9152623047,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,4.745418908967719e-15,1.482943409052412e-15,,,,,,,,,,,,,
debug_T5_L3_threshold_balanced_20260630-204109,20260630-204109,,threshold,balanced,debug,5,3,preliminary,-0.3010648049399453,1.114619859626681e+18,4214591036885.0127,4214591036885.0127,-0.02407981148993288,0.06950110663972836,-0.02407981148993288,375611223.3226168,6,0.0,True,2.8329959604889154e-06,2052946.9152623047,2052946.9152623047,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,4.745418908967719e-15,1.482943409052412e-15,,,,,,,,,,,,,
debug_T5_L3_dp_20260630-204109,20260630-204109,,dp,,debug,5,3,preliminary,-0.27698499345001243,1.1234219152982561e+18,0.0,0.0,0.0,0.09358091812966124,0.0,375611223.3226168,6,0.0,True,0.00013179201050661504,2052946.9152623047,2052946.9152623047,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,4.745418908967719e-15,1.482943409052412e-15,,,,,,,,,,,,,
debug_T5_L3_brute_20260630-204109,20260630-204109,,brute,,debug,5,3,preliminary,-0.27698499345001243,1.1234219152982561e+18,0.0,0.0,0.0,0.09358091812966124,0.0,375611223.3226168,6,0.0,True,0.0020754579891217873,2052946.9152623047,2052946.9152623047,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,4.745418908967719e-15,1.482943409052412e-15,,,,,,,,,,,,,
small_T12_L3_historical_20260630-204114,20260630-204114,,historical,,small,12,3,preliminary,-0.2962643039469879,2.603502990768249e+18,0.0,0.0,0.0,0.07840740489333592,0.0,348969800.0000005,13,0.0,True,6.659975042566657e-07,2745242.458401289,2745242.458401289,0.1,3288726000.0,822181500.0,3053171.405289538,1.1379449341810258e-19,1.1057509970985326e-15,3.015684537541453e-16,,,,,,,,,,,,,
small_T12_L3_threshold_pure_20260630-204114,20260630-204114,,threshold,pure,small,12,3,preliminary,-0.3746717088403238,2.413752200039485e+18,90436273864909.84,0.0,-0.07840740489333592,0.0,-0.07840740489333592,375611223.3226168,13,19950597.00360389,False,2.959000994451344e-06,2745242.458401289,2745242.458401289,0.1,3288726000.0,822181500.0,3053171.405289538,1.1379449341810258e-19,1.1057509970985326e-15,3.015684537541453e-16,,,,,,,,,,,,,
small_T12_L3_threshold_clamped_20260630-204114,20260630-204114,,threshold,clamped,small,12,3,preliminary,-0.3746717088403238,2.413752200039485e+18,90436273864909.84,0.0,-0.07840740489333592,0.0,-0.07840740489333592,375611223.3226168,13,19950597.00360389,False,3.2909883884713054e-06,2745242.458401289,2745242.458401289,0.1,3288726000.0,822181500.0,3053171.405289538,1.1379449341810258e-19,1.1057509970985326e-15,3.015684537541453e-16,,,,,,,,,,,,,
small_T12_L3_threshold_balanced_20260630-204114,20260630-204114,,threshold,balanced,small,12,3,preliminary,-0.32023308783264265,2.5012372626925655e+18,30145424621636.61,7536356155409.152,-0.023968783885654765,0.054438621007681154,-0.023968783885654765,359950769.8336055,13,0.0,True,2.749991836026311e-06,2745242.458401289,2745242.458401289,0.1,3288726000.0,822181500.0,3053171.405289538,1.1379449341810258e-19,1.1057509970985326e-15,3.015684537541453e-16,,,,,,,,,,,,,
small_T12_L3_dp_20260630-204114,20260630-204114,,dp,,small,12,3,preliminary,-0.2962643039469879,2.603502990768249e+18,0.0,0.0,0.0,0.07840740489333592,0.0,348969800.0000005,13,0.0,True,0.000847500006784685,2745242.458401289,2745242.458401289,0.1,3288726000.0,822181500.0,3053171.405289538,1.1379449341810258e-19,1.1057509970985326e-15,3.015684537541453e-16,,,,,,,,,,,,,
small_T12_L3_brute_20260630-204114,20260630-204114,,brute,,small,12,3,preliminary,-0.2962643039469879,2.603502990768249e+18,0.0,0.0,0.0,0.07840740489333592,0.0,348969800.0000005,13,0.0,True,4.933359750008094,2745242.458401289,2745242.458401289,0.1,3288726000.0,822181500.0,3053171.405289538,1.1379449341810258e-19,1.1057509970985326e-15,3.015684537541453e-16,,,,,,,,,,,,,
medium_T26_L5_historical_20260630-204114,20260630-204114,,historical,,medium,26,5,preliminary,-0.31153406268497746,5.685971830470834e+18,0.0,0.0,0.0,-0.02260042438988058,-0.021111089086848778,317462078.0662278,27,0.0,True,9.170034900307655e-07,2804362.4869818557,5608724.973963711,0.1,3288726000.0,822181500.0,3053171.405289538,5.478994127538273e-20,1.222639331281485e-16,3.1788622613318614e-17,,,,,,,,,,,,,
medium_T26_L5_threshold_pure_20260630-204114,20260630-204114,,threshold,pure,medium,26,5,preliminary,-0.2889336382950969,4.817191479883607e+18,204475672918167.53,0.0,0.02260042438988058,0.0,0.0014893353030318024,373549327.80586517,27,41763308.29937241,False,4.750007065013051e-06,2804362.4869818557,5608724.973963711,0.1,3288726000.0,822181500.0,3053171.405289538,5.478994127538273e-20,1.222639331281485e-16,3.1788622613318614e-17,,,,,,,,,,,,,
medium_T26_L5_threshold_clamped_20260630-204114,20260630-204114,,threshold,clamped,medium,26,5,preliminary,-0.2889336382950969,4.817191479883607e+18,204475672918167.53,0.0,0.02260042438988058,0.0,0.0014893353030318024,373549327.80586517,27,41763308.29937241,False,6.000002031214535e-06,2804362.4869818557,5608724.973963711,0.1,3288726000.0,822181500.0,3053171.405289538,5.478994127538273e-20,1.222639331281485e-16,3.1788622613318614e-17,,,,,,,,,,,,,
medium_T26_L5_threshold_balanced_20260630-204114,20260630-204114,,threshold,balanced,medium,26,5,preliminary,-0.2904229735981287,5.10305439306665e+18,86508938542301.64,7864448958391.059,0.021111089086848778,-0.0014893353030318024,0.0,348310065.42302835,27,0.0,True,4.874993464909494e-06,2804362.4869818557,5608724.973963711,0.1,3288726000.0,822181500.0,3053171.405289538,5.478994127538273e-20,1.222639331281485e-16,3.1788622613318614e-17,,,,,,,,,,,,,
medium_T26_L5_dp_20260630-204114,20260630-204114,,dp,,medium,26,5,preliminary,-0.2904229735981287,5.10305439306665e+18,86508938542301.64,7864448958391.059,0.021111089086848778,-0.0014893353030318024,0.0,348310065.42302835,27,0.0,True,0.01989633399352897,2804362.4869818557,5608724.973963711,0.1,3288726000.0,822181500.0,3053171.405289538,5.478994127538273e-20,1.222639331281485e-16,3.1788622613318614e-17,,,,,,,,,,,,,
large_T52_L5_historical_20260630-204114,20260630-204114,,historical,,large,52,5,preliminary,-0.2527021558991035,9.053577374679671e+18,0.0,0.0,0.0,-0.0503598942792631,-0.05123624541501132,317462078.0662278,53,0.0,True,7.499911589547992e-07,3053171.405289538,6106342.810579076,0.1,3288726000.0,822181500.0,3053171.405289538,2.7911856876138367e-20,5.1574412847372514e-17,1.3146418961094954e-17,,,,,,,,,,,,,
large_T52_L5_threshold_pure_20260630-204114,20260630-204114,,threshold,pure,large,52,5,preliminary,-0.2023422616198404,6.35365330249486e+18,484736492764040.06,0.0,0.0503598942792631,0.0,-0.0008763511357482157,375611223.3226168,53,89800273.65285873,False,7.458002073690295e-06,3053171.405289538,6106342.810579076,0.1,3288726000.0,822181500.0,3053171.405289538,2.7911856876138367e-20,5.1574412847372514e-17,1.3146418961094954e-17,,,,,,,,,,,,,
large_T52_L5_threshold_clamped_20260630-204114,20260630-204114,,threshold,clamped,large,52,5,preliminary,-0.2020841128410697,6.354095829979956e+18,479303042541944.56,739856410349.8508,0.0506180430580338,0.0002581487787707004,-0.0006182023569775152,375611223.3226168,53,88833511.6516023,False,1.0667004971764982e-05,3053171.405289538,6106342.810579076,0.1,3288726000.0,822181500.0,3053171.405289538,2.7911856876138367e-20,5.1574412847372514e-17,1.3146418961094954e-17,,,,,,,,,,,,,
large_T52_L5_threshold_balanced_20260630-204115,20260630-204115,,threshold,balanced,large,52,5,preliminary,-0.20656571481606528,7.017313236762077e+18,205080823861709.25,9321855630077.693,0.046136441083038215,-0.004223453196224886,-0.005099804331973101,375611223.3226168,53,0.0,True,8.583010639995337e-06,3053171.405289538,6106342.810579076,0.1,3288726000.0,822181500.0,3053171.405289538,2.7911856876138367e-20,5.1574412847372514e-17,1.3146418961094954e-17,,,,,,,,,,,,,
large_T52_L5_dp_20260630-204115,20260630-204115,,dp,,large,52,5,preliminary,-0.20146591048409218,6.201346610121797e+18,540667626544506.25,37287422520310.77,0.05123624541501132,0.0008763511357482157,0.0,375611223.3226168,53,0.0,True,0.07809912499214988,3053171.405289538,6106342.810579076,0.1,3288726000.0,822181500.0,3053171.405289538,2.7911856876138367e-20,5.1574412847372514e-17,1.3146418961094954e-17,,,,,,,,,,,,,
large_T52_L7_historical_20260630-204115,20260630-204115,,historical,,large,52,7,preliminary,-0.2527021558991035,9.053577374679671e+18,0.0,0.0,0.0,-0.06424878316815197,-0.07505919024953164,317462078.0662278,53,0.0,True,1.0410003596916795e-06,3053171.405289538,9159514.215868615,0.1,3288726000.0,822181500.0,3053171.405289538,2.7911856876138367e-20,2.2921961265498898e-17,5.842852871597758e-18,,,,,,,,,,,,,
large_T52_L7_threshold_pure_20260630-204115,20260630-204115,,threshold,pure,large,52,7,preliminary,-0.18845337273095153,6.35365330249486e+18,484736492764040.06,0.0,0.06424878316815197,0.0,-0.010810407081379675,375611223.3226168,53,89800273.65285873,False,7.584007107652724e-06,3053171.405289538,9159514.215868615,0.1,3288726000.0,822181500.0,3053171.405289538,2.7911856876138367e-20,2.2921961265498898e-17,5.842852871597758e-18,,,,,,,,,,,,,
large_T52_L7_threshold_clamped_20260630-204115,20260630-204115,,threshold,clamped,large,52,7,preliminary,-0.18834550203140218,6.354095829979956e+18,479303042541944.56,739856410349.8508,0.06435665386770131,0.00010787069954934503,-0.01070253638183033,375611223.3226168,53,88833511.6516023,False,1.0916992323473096e-05,3053171.405289538,9159514.215868615,0.1,3288726000.0,822181500.0,3053171.405289538,2.7911856876138367e-20,2.2921961265498898e-17,5.842852871597758e-18,,,,,,,,,,,,,
large_T52_L7_threshold_balanced_20260630-204115,20260630-204115,,threshold,balanced,large,52,7,preliminary,-0.2006215636513259,7.017313236762077e+18,205080823861709.25,9321855630077.693,0.052080592247777585,-0.012168190920374383,-0.022978598001754058,375611223.3226168,53,0.0,True,8.416987839154899e-06,3053171.405289538,9159514.215868615,0.1,3288726000.0,822181500.0,3053171.405289538,2.7911856876138367e-20,2.2921961265498898e-17,5.842852871597758e-18,,,,,,,,,,,,,
large_T52_L7_dp_20260630-204115,20260630-204115,,dp,,large,52,7,preliminary,-0.17764296564957185,5.202463620608177e+18,1398278344511653.8,65252989410543.86,0.07505919024953164,0.010810407081379675,0.0,375611223.3226168,53,0.0,True,0.20065487500687595,3053171.405289538,9159514.215868615,0.1,3288726000.0,822181500.0,3053171.405289538,2.7911856876138367e-20,2.2921961265498898e-17,5.842852871597758e-18,,,,,,,,,,,,,
small_T12_L3_qubo_exhaustive_20260630-220407,20260630-220407,,qubo_exhaustive,,small,12,3,preliminary,-0.2962643039469879,2.603502990768249e+18,0.0,0.0,0.0,0.07840740489333592,0.0,348969800.0000005,13,0.0,True,0.8670952080137795,2745242.458401289,2745242.458401289,0.1,3288726000.0,822181500.0,3053171.405289538,1.1379449341810258e-19,1.1057509970985326e-15,3.015684537541453e-16,onehot,40,,0.0031250000000000444,1.0,42,numpy_exhaustive,"{""R"": 2.962643039469879, ""bal_slack"": 2.962643039469879, ""bal_soft"": 1.7551183706219105e-14, ""onehot"": 2.962643039469879}",,,,,
medium_T26_L5_qubo_sa_20260630-220407,20260630-220407,,qubo_sa,,medium,26,5,preliminary,-0.3226766702648148,5.033274679468841e+18,275255713543687.06,416815794794726.2,-0.011142607579837316,-0.033743031969717896,-0.032253696666686094,356723152.88397396,27,0.0,True,0.4632748750009341,2804362.4869818557,5608724.973963711,0.1,3288726000.0,822181500.0,3053171.405289538,5.478994127538273e-20,1.222639331281485e-16,3.1788622613318614e-17,onehot,135,,0.0008091928904072621,1.1110576627843394,42,numpy_sa,"{""R"": 3.1153406268497745, ""bal_slack"": 3.1153406268497745, ""bal_soft"": 3.2105999314703844e-15, ""onehot"": 3.1153406268497745}",,,,,
small_T12_L3_qubo_exhaustive_20260630-220452,20260630-220452,,qubo_exhaustive,,small,12,3,preliminary,-0.2962643039469879,2.603502990768249e+18,0.0,0.0,0.0,0.07840740489333592,0.0,348969800.0000005,13,0.0,True,0.8628356249973876,2745242.458401289,2745242.458401289,0.1,3288726000.0,822181500.0,3053171.405289538,1.1379449341810258e-19,1.1057509970985326e-15,3.015684537541453e-16,onehot,40,,0.0031250000000000444,1.0,42,numpy_exhaustive,"{""R"": 2.962643039469879, ""bal_slack"": 2.962643039469879, ""bal_soft"": 1.7551183706219105e-14, ""onehot"": 2.962643039469879}",,,,,
medium_T26_L5_qubo_sa_20260630-220453,20260630-220453,,qubo_sa,,medium,26,5,preliminary,-0.3226766702648148,5.033274679468841e+18,275255713543687.06,416815794794726.2,-0.011142607579837316,-0.033743031969717896,-0.032253696666686094,356723152.88397396,27,0.0,True,0.4655981249961769,2804362.4869818557,5608724.973963711,0.1,3288726000.0,822181500.0,3053171.405289538,5.478994127538273e-20,1.222639331281485e-16,3.1788622613318614e-17,onehot,135,,0.0008091928904072621,1.1110576627843394,42,numpy_sa,"{""R"": 3.1153406268497745, ""bal_slack"": 3.1153406268497745, ""bal_soft"": 3.2105999314703844e-15, ""onehot"": 3.1153406268497745}",,,,,
debug_T5_L3_historical_first_20260701-011613,20260701-011613,,historical,,debug,5,3,preliminary,-0.27698499345001243,1.1234219152982561e+18,0.0,0.0,0.0,0.09358091812966124,0.0,375611223.3226168,6,0.0,True,0.0,2052946.9152623047,2052946.9152623047,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,4.745418908967719e-15,1.482943409052412e-15,,,,,,,,,0,first,,,
debug_T5_L3_threshold_pure_first_20260701-011613,20260701-011613,,threshold,pure,debug,5,3,preliminary,-0.37056591157967367,1.0973867963576566e+18,21072955184425.062,0.0,-0.09358091812966124,0.0,-0.09358091812966124,375611223.3226168,6,6334500.819451139,False,0.0,2052946.9152623047,2052946.9152623047,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,4.745418908967719e-15,1.482943409052412e-15,,,,,,,,,0,first,,,
debug_T5_L3_threshold_clamped_first_20260701-011613,20260701-011613,,threshold,clamped,debug,5,3,preliminary,-0.37056591157967367,1.0973867963576566e+18,21072955184425.062,0.0,-0.09358091812966124,0.0,-0.09358091812966124,375611223.3226168,6,6334500.819451139,False,0.0,2052946.9152623047,2052946.9152623047,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,4.745418908967719e-15,1.482943409052412e-15,,,,,,,,,0,first,,,
debug_T5_L3_threshold_balanced_first_20260701-011613,20260701-011613,,threshold,balanced,debug,5,3,preliminary,-0.3010648049399453,1.114619859626681e+18,4214591036885.0127,4214591036885.0127,-0.02407981148993288,0.06950110663972836,-0.02407981148993288,375611223.3226168,6,0.0,True,0.0,2052946.9152623047,2052946.9152623047,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,4.745418908967719e-15,1.482943409052412e-15,,,,,,,,,0,first,,,
debug_T5_L3_dp_first_20260701-011613,20260701-011613,,dp,,debug,5,3,preliminary,-0.27698499345001243,1.1234219152982561e+18,0.0,0.0,0.0,0.09358091812966124,0.0,375611223.3226168,6,0.0,True,0.0,2052946.9152623047,2052946.9152623047,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,4.745418908967719e-15,1.482943409052412e-15,,,,,,,,,0,first,,,
debug_T5_L3_brute_first_20260701-011613,20260701-011613,,brute,,debug,5,3,preliminary,-0.27698499345001243,1.1234219152982561e+18,0.0,0.0,0.0,0.09358091812966124,0.0,375611223.3226168,6,0.0,True,0.0,2052946.9152623047,2052946.9152623047,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,4.745418908967719e-15,1.482943409052412e-15,,,,,,,,,0,first,,,
debug_T5_L3_historical_middle_20260701-011613,20260701-011613,,historical,,debug,5,3,preliminary,-0.29488241871090165,1.1960119842224202e+18,0.0,0.0,0.0,0.09156958943793275,0.0,352561412.3621799,6,0.0,True,0.0,2672178.4900759677,2672178.4900759677,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,2.8009094452263215e-15,8.752842016332254e-16,,,,,,,,,23,middle,,,
debug_T5_L3_threshold_pure_middle_20260701-011613,20260701-011613,,threshold,pure,debug,5,3,preliminary,-0.3864520081488344,1.161819128275885e+18,35702689414123.39,0.0,-0.09156958943793275,0.0,-0.09156958943793275,353930802.6152051,6,7495392.925810193,False,0.0,2672178.4900759677,2672178.4900759677,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,2.8009094452263215e-15,8.752842016332254e-16,,,,,,,,,23,middle,,,
debug_T5_L3_threshold_clamped_middle_20260701-011613,20260701-011613,,threshold,clamped,debug,5,3,preliminary,-0.3864520081488344,1.161819128275885e+18,35702689414123.39,0.0,-0.09156958943793275,0.0,-0.09156958943793275,353930802.6152051,6,7495392.925810193,False,0.0,2672178.4900759677,2672178.4900759677,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,2.8009094452263215e-15,8.752842016332254e-16,,,,,,,,,23,middle,,,
debug_T5_L3_threshold_balanced_middle_20260701-011613,20260701-011613,,threshold,balanced,debug,5,3,preliminary,-0.3359643873304039,1.1750509940998702e+18,14281075765649.357,7140537882824.679,-0.04108196861950225,0.0504876208184305,-0.04108196861950225,353930802.6152051,6,0.0,True,0.0,2672178.4900759677,2672178.4900759677,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,2.8009094452263215e-15,8.752842016332254e-16,,,,,,,,,23,middle,,,
debug_T5_L3_dp_middle_20260701-011613,20260701-011613,,dp,,debug,5,3,preliminary,-0.29488241871090165,1.1960119842224202e+18,0.0,0.0,0.0,0.09156958943793275,0.0,352561412.3621799,6,0.0,True,0.0,2672178.4900759677,2672178.4900759677,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,2.8009094452263215e-15,8.752842016332254e-16,,,,,,,,,23,middle,,,
debug_T5_L3_brute_middle_20260701-011613,20260701-011613,,brute,,debug,5,3,preliminary,-0.29488241871090165,1.1960119842224202e+18,0.0,0.0,0.0,0.09156958943793275,0.0,352561412.3621799,6,0.0,True,0.0,2672178.4900759677,2672178.4900759677,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,2.8009094452263215e-15,8.752842016332254e-16,,,,,,,,,23,middle,,,
debug_T5_L3_historical_stress_20260701-011613,20260701-011613,,historical,,debug,5,3,preliminary,-0.3511151828622841,1.4240861438315835e+18,0.0,0.0,0.0,0.08597020768424929,0.0,317462078.0662278,6,0.0,True,0.0,3942682.616288965,3942682.616288965,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,1.2866083322446192e-15,4.0206510382644357e-16,,,,,,,,,17,stress,,,
debug_T5_L3_threshold_pure_stress_20260701-011613,20260701-011613,,threshold,pure,debug,5,3,preliminary,-0.4370853905465334,1.3671827861504323e+18,77723731063936.0,0.0,-0.08597020768424929,0.0,-0.08597020768424929,329290125.9150947,6,11895491.01904951,False,0.0,3942682.616288965,3942682.616288965,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,1.2866083322446192e-15,4.0206510382644357e-16,,,,,,,,,17,stress,,,
debug_T5_L3_threshold_clamped_stress_20260701-011613,20260701-011613,,threshold,clamped,debug,5,3,preliminary,-0.4370853905465334,1.3671827861504323e+18,77723731063936.0,0.0,-0.08597020768424929,0.0,-0.08597020768424929,329290125.9150947,6,11895491.01904951,False,0.0,3942682.616288965,3942682.616288965,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,1.2866083322446192e-15,4.0206510382644357e-16,,,,,,,,,17,stress,,,
debug_T5_L3_threshold_balanced_stress_20260701-011613,20260701-011613,,threshold,balanced,debug,5,3,preliminary,-0.3726189243888955,1.404835820128985e+18,15544746212787.2,15544746212787.2,-0.021503741526611386,0.0644664661576379,-0.021503741526611386,321404760.68251675,6,0.0,True,0.0,3942682.616288965,3942682.616288965,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,1.2866083322446192e-15,4.0206510382644357e-16,,,,,,,,,17,stress,,,
debug_T5_L3_dp_stress_20260701-011613,20260701-011613,,dp,,debug,5,3,preliminary,-0.3511151828622841,1.4240861438315835e+18,0.0,0.0,0.0,0.08597020768424929,0.0,317462078.0662278,6,0.0,True,0.0,3942682.616288965,3942682.616288965,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,1.2866083322446192e-15,4.0206510382644357e-16,,,,,,,,,17,stress,,,
debug_T5_L3_brute_stress_20260701-011613,20260701-011613,,brute,,debug,5,3,preliminary,-0.3511151828622841,1.4240861438315835e+18,0.0,0.0,0.0,0.08597020768424929,0.0,317462078.0662278,6,0.0,True,0.0,3942682.616288965,3942682.616288965,0.1,3288726000.0,822181500.0,3053171.405289538,2.4655473573922224e-19,1.2866083322446192e-15,4.0206510382644357e-16,,,,,,,,,17,stress,,,
small_T12_L3_historical_first_20260701-011633,20260701-011633,,historical,,small,12,3,preliminary,-0.2962643039469879,2.603502990768249e+18,0.0,0.0,0.0,0.07840740489333592,0.0,348969800.0000005,13,0.0,True,0.0,2745242.458401289,2745242.458401289,0.1,3288726000.0,822181500.0,3053171.405289538,1.1379449341810258e-19,1.1057509970985326e-15,3.015684537541453e-16,,,,,,,,,0,first,,,
small_T12_L3_threshold_pure_first_20260701-011633,20260701-011633,,threshold,pure,small,12,3,preliminary,-0.3746717088403238,2.413752200039485e+18,90436273864909.84,0.0,-0.07840740489333592,0.0,-0.07840740489333592,375611223.3226168,13,19950597.00360389,False,0.0,2745242.458401289,2745242.458401289,0.1,3288726000.0,822181500.0,3053171.405289538,1.1379449341810258e-19,1.1057509970985326e-15,3.015684537541453e-16,,,,,,,,,0,first,,,
small_T12_L3_threshold_clamped_first_20260701-011633,20260701-011633,,threshold,clamped,small,12,3,preliminary,-0.3746717088403238,2.413752200039485e+18,90436273864909.84,0.0,-0.07840740489333592,0.0,-0.07840740489333592,375611223.3226168,13,19950597.00360389,False,0.0,2745242.458401289,2745242.458401289,0.1,3288726000.0,822181500.0,3053171.405289538,1.1379449341810258e-19,1.1057509970985326e-15,3.015684537541453e-16,,,,,,,,,0,first,,,
